# BETA MCTIME VIRIAL1 DELTA ENERGY N1 L ACCEPTANCE ENERGYSQUARE TEMPERATURE DENSITY PRESSURE CV ENERGYERR CVERR N THERMTIME THBIN BTIME VOLUME PRERR ENERGYTAIL VIRTAIL CUTOFF U TOTENERGY DELTAIN FILENAME SIMTIME CORRTIME 
0.769231 3600000.0 -0.124685090556 0.13 -0.239822088889 5 16.0915 0.872874 0.0587810280556 1.29999961 0.0299999426349 0.0352304154806 0.000749345855835 0.0024352292496 5.74415885469e-05 125 11350 50 10000 4166.67463406 0.00182841554079 -0.000482546193211 -0.00096509120052 8.04575 -0.240304635082 1.70969477992 0.13 ./data/phasediag2/test0149.out 21.0 16858.2872588 
0.714286 3600000.0 -0.116527893889 0.131 -0.235114883333 5 16.0915 0.878861 0.0565901522222 1.39999944 0.0299999426349 0.0384751200762 0.000668951482801 0.00224403968747 3.55143999619e-05 125 12000 50 10000 4166.67463406 0.0013394067265 -0.000482546193211 -0.00096509120052 8.04575 -0.235597429527 1.86440173047 0.131 ./data/phasediag2/test0150.out 21.0 13826.5307244 
0.666667 3600000.0 -0.108691442222 0.132 -0.224551638889 5 16.0915 0.886499 0.0515710838889 1.49999925 0.0299999426349 0.0417102017401 0.000510065115044 0.00201273654534 2.35413328834e-05 125 13800 50 10000 4166.67463406 0.00144314899955 -0.000482546193211 -0.00096509120052 8.04575 -0.225034185082 2.02496468992 0.132 ./data/phasediag2/test0151.out 21.0 12707.7499169 
1.25 3600000.0 -0.353702277778 0.123 -0.756773091667 5 13.5721 0.656009 0.609146755556 0.8 0.0499998682921 0.0221807880179 0.0569394426325 0.0330640224632 0.0171055653561 125 10200 50 10000 2500.00658541 0.00694467786874 -0.0013404012286 -0.00268079330674 6.78605 -0.758113492895 0.441886507105 0.123 ./data/phasediag2/test0000.out 0.0 107999.237635 
1.11111 3600000.0 -0.286068675 0.124 -0.529234269444 5 13.5721 0.734299 0.285230597222 0.900000900001 0.0499998682921 0.0305624910781 0.0063477468944 0.00879878372507 0.00081041367073 125 7750 50 10000 2500.00658541 0.00345314431847 -0.0013404012286 -0.00268079330674 6.78605 -0.530574670673 0.819426679328 0.124 ./data/phasediag2/test0001.out 0.0 54205.3680123 
1.0 3600000.0 -0.260578494444 0.125 -0.480700086111 5 13.5721 0.7626 0.234995591667 1.0 0.0499998682921 0.0368369385779 0.00392301887944 0.00638428861447 0.000565942906755 125 10300 50 10000 2500.00658541 0.00221102967461 -0.0013404012286 -0.00268079330674 6.78605 -0.48204048734 1.01795951266 0.125 ./data/phasediag2/test0002.out 0.0 37403.059357 
0.909091 3600000.0 -0.231993719444 0.126 -0.435226311111 5 13.5721 0.786758 0.191957319444 1.09999989 0.0499998682921 0.0432661548923 0.00209535377532 0.00346586373955 0.000129733808227 125 7900 50 10000 2500.00658541 0.00169021836607 -0.0013404012286 -0.00268079330674 6.78605 -0.43656671234 1.21343312266 0.126 ./data/phasediag2/test0003.out 0.0 17056.221497 
0.833333 3600000.0 -0.217404663889 0.127 -0.412887211111 5 13.5721 0.803272 0.172967680556 1.20000048 0.0499998682921 0.0489956220777 0.00173043712707 0.00421211787622 0.000119831759912 125 9450 50 10000 2500.00658541 0.00201435153618 -0.0013404012286 -0.00268079330674 6.78605 -0.41422761234 1.38577310766 0.127 ./data/phasediag2/test0004.out 0.0 25632.140186 
0.769231 3600000.0 -0.2035089 0.128 -0.398490808333 5 13.5721 0.814582 0.160840122222 1.29999961 0.0499998682921 0.0546903517713 0.00121017699597 0.00348184687619 9.30247410268e-05 125 12150 50 10000 2500.00658541 0.00206856335489 -0.0013404012286 -0.00268079330674 6.78605 -0.399831209562 1.55016820544 0.128 ./data/phasediag2/test0005.out 0.0 21339.6110436 
0.714286 3600000.0 -0.187253095556 0.129 -0.382029480556 5 13.5721 0.825583 0.147881458333 1.39999944 0.0499998682921 0.0605031181818 0.000987212177415 0.00252084194574 4.90933222243e-05 125 9950 50 10000 2500.00658541 0.00172343156528 -0.0013404012286 -0.00268079330674 6.78605 -0.383369881784 1.71662927822 0.129 ./data/phasediag2/test0006.out 0.0 11822.9950141 
