# BETA MCTIME VIRIAL1 DELTA ENERGY N1 L ACCEPTANCE ENERGYSQUARE TEMPERATURE DENSITY PRESSURE CV ENERGYERR CVERR N THERMTIME THBIN BTIME VOLUME PRERR ENERGYTAIL VIRTAIL CUTOFF U TOTENERGY DELTAIN FILENAME SIMTIME 
0.714286 3600000.0 -0.758616880556 0.103 -2.12479547222 5 7.38782 0.538505 4.52260355556 1.39999944 0.309999573497 0.166891043052 0.00400396074373 0.00677742760979 0.000312658089483 125 8000 50 10000 403.226361216 0.00713161112747 -0.0515185682279 -0.103023615367 3.69391 -2.17631404045 -0.0763148804498 0.103 ./data/phasediag2/test0054.out 0.0 
0.666667 3600000.0 -0.685559825 0.104 -2.07926836111 5 7.38782 0.549581 4.33060608333 1.49999925 0.309999573497 0.220538597566 0.00322185469547 0.00544683057527 0.000143440690816 125 6450 50 10000 403.226361216 0.00655998793312 -0.0515185682279 -0.103023615367 3.69391 -2.13078692934 0.119211945662 0.104 ./data/phasediag2/test0055.out 0.0 
1.25 3600000.0 -1.16899619167 0.0927 -3.34945488889 5 7.07254 0.35145 11.24213325 0.8 0.353332654294 -0.17766432163 0.0363831207786 0.0185912761536 0.00733063443764 125 11300 50 10000 353.774264793 0.0111308816194 -0.0669255728768 -0.133828326451 3.53627 -3.41638046177 -2.21638046177 0.0927 ./data/phasediag2/test0056.out 0.0 
1.11111 3600000.0 -1.15354659722 0.0937 -3.00619652778 5 7.07254 0.402567 9.06003144444 0.900000900001 0.353332654294 -0.136871891988 0.028165228634 0.020602952798 0.00314477743751 125 14550 50 10000 353.774264793 0.0114692852879 -0.0669255728768 -0.133828326451 3.53627 -3.07312210065 -1.72312075065 0.0937 ./data/phasediag2/test0057.out 0.0 
1.0 3600000.0 -1.125532125 0.0947 -2.74858280556 5 7.07254 0.446586 7.57107011111 1.0 0.353332654294 -0.0916405167299 0.0163626721155 0.0162973132144 0.00191901594916 125 7950 50 10000 353.774264793 0.00836447718803 -0.0669255728768 -0.133828326451 3.53627 -2.81550837843 -1.31550837843 0.0947 ./data/phasediag2/test0058.out 0.0 
0.909091 3600000.0 -1.05143364444 0.0957 -2.58756630556 5 7.07254 0.47604 6.70743991667 1.09999989 0.353332654294 -0.0301258773533 0.00986820942839 nan nan 125 18900 50 10000 353.774264793 0.00928852663262 -0.0669255728768 -0.133828326451 3.53627 -2.65449187843 -1.00449204343 0.0957 ./data/phasediag2/test0059.out 0.0 
0.833333 3600000.0 -0.987451216667 0.0967 -2.48946816667 5 7.07254 0.496561 6.20646966667 1.20000048 0.353332654294 0.0278146775772 0.00626243514281 0.0087702435894 0.000645635717065 125 5550 50 10000 353.774264793 0.0092482814753 -0.0669255728768 -0.133828326451 3.53627 -2.55639373954 -0.756393019543 0.0967 ./data/phasediag2/test0060.out 0.0 
0.769231 3600000.0 -0.874025780556 0.0977 -2.42825597222 5 7.07254 0.50861 5.90339572222 1.29999961 0.353332654294 0.103224546013 0.00412346731984 0.00579302656105 0.000179035489922 125 13100 50 10000 353.774264793 0.00753983346225 -0.0669255728768 -0.133828326451 3.53627 -2.4951815451 -0.545182130099 0.0977 ./data/phasediag2/test0061.out 0.0 
0.714286 3600000.0 -0.793097913889 0.0987 -2.37667266667 5 7.07254 0.520277 5.65534044444 1.39999944 0.353332654294 0.167152209311 0.00345279866224 0.00479167094712 0.000123587913926 125 9750 50 10000 353.774264793 0.00804598756748 -0.0669255728768 -0.133828326451 3.53627 -2.44359823954 -0.343599079543 0.0987 ./data/phasediag2/test0062.out 0.0 
0.666667 3600000.0 -0.707439244444 0.0997 -2.32620588889 5 7.07254 0.531145 5.41808391667 1.49999925 0.353332654294 0.232751412645 0.00304448267351 0.00417526966494 0.000131107155362 125 12250 50 10000 353.774264793 0.00693029381607 -0.0669255728768 -0.133828326451 3.53627 -2.39313146177 -0.143132586765 0.0997 ./data/phasediag2/test0063.out 0.0 
1.25 3600000.0 -1.20371920556 0.0883 -3.54984538889 5 6.805 0.350175 12.6328618056 0.8 0.396666591513 -0.227040795628 0.0491555008435 0.0242224432272 0.0138703359437 125 8950 50 10000 315.126110125 0.0192286622623 -0.0843444516902 -0.168652656572 3.4025 -3.63418984058 -2.43418984058 0.0883 ./data/phasediag2/test0064.out 0.0 
1.11111 3600000.0 -1.25164262222 0.0893 -3.17305188889 5 6.805 0.405389 10.0832292778 0.900000900001 0.396666591513 -0.206383397819 0.0184826645117 0.0159507389085 0.00148588886794 125 15100 50 10000 315.126110125 0.0104320450618 -0.0843444516902 -0.168652656572 3.4025 -3.25739634058 -1.90739499058 0.0893 ./data/phasediag2/test0065.out 0.0 
1.0 3600000.0 -1.18270448056 0.0903 -2.94240858333 5 6.805 0.442868 8.66942522222 1.0 0.396666591513 -0.139371637988 0.0116569509485 0.0120293751204 0.00112326256901 125 7550 50 10000 315.126110125 0.010206841305 -0.0843444516902 -0.168652656572 3.4025 -3.02675303502 -1.52675303502 0.0903 ./data/phasediag2/test0066.out 0.0 
0.909091 3600000.0 -1.10314168611 0.0913 -2.82395594444 5 6.805 0.466694 7.98402733333 1.09999989 0.396666591513 -0.0681451199868 0.00768608184318 nan nan 125 8250 50 10000 315.126110125 0.00898510631311 -0.0843444516902 -0.168652656572 3.4025 -2.90830039613 -1.25830056113 0.0913 ./data/phasediag2/test0067.out 0.0 
0.833333 3600000.0 -1.01851091667 0.0923 -2.73830833333 5 6.805 0.483343 7.50713683333 1.20000048 0.396666591513 0.00509197205048 0.00611409575494 0.00849108564026 0.000503621405289 125 7100 50 10000 315.126110125 0.0113734272615 -0.0843444516902 -0.168652656572 3.4025 -2.82265278502 -1.02265206502 0.0923 ./data/phasediag2/test0068.out 0.0 
0.769231 3600000.0 -0.909981963889 0.0933 -2.68383344444 5 6.805 0.494179 7.21005466667 1.29999961 0.396666591513 0.0878080958806 0.00419687183655 0.00548507290333 0.000262844812915 125 7450 50 10000 315.126110125 0.00782054131915 -0.0843444516902 -0.168652656572 3.4025 -2.76817789613 -0.818178481134 0.0933 ./data/phasediag2/test0069.out 0.0 
0.714286 3600000.0 -0.789865461111 0.0943 -2.63994138889 5 6.805 0.502665 6.97596319444 1.39999944 0.396666591513 0.17512089134 0.00340441990509 0.00492946846272 0.000114518391471 125 10600 50 10000 315.126110125 0.00777910838816 -0.0843444516902 -0.168652656572 3.4025 -2.72428584058 -0.624286680579 0.0943 ./data/phasediag2/test0070.out 0.0 
0.666667 3600000.0 -0.690117483333 0.0953 -2.58777441667 5 6.805 0.512308 6.70329108333 1.49999925 0.396666591513 0.25435416548 0.00298429266377 0.0042317433219 8.96130468006e-05 125 6900 50 10000 315.126110125 0.0090857159701 -0.0843444516902 -0.168652656572 3.4025 -2.67211886836 -0.422119993356 0.0953 ./data/phasediag2/test0071.out 0.0 
1.25 3600000.0 -1.35525076389 0.084 -3.59773736111 5 6.57384 0.368979 12.9596711111 0.8 0.439999946954 -0.335607366897 0.0249327993381 0.0143227218871 0.00287631475783 125 16800 50 10000 284.09094334 0.0124393254271 -0.103774109574 -0.20749334374 3.28692 -3.70151147069 -2.50151147069 0.084 ./data/phasediag2/test0072.out 0.0 
1.11111 3600000.0 -1.31474755833 0.085 -3.33082455556 5 6.57384 0.409408 11.1110186389 0.900000900001 0.439999946954 -0.273785567905 0.0205264021533 0.0161297271265 0.00242568433895 125 12850 50 10000 284.09094334 0.0129966883482 -0.103774109574 -0.20749334374 3.28692 -3.43459866513 -2.08459731513 0.085 ./data/phasediag2/test0073.out 0.0 
1.0 3600000.0 -1.24691981389 0.086 -3.15612438889 5 6.57384 0.439265 9.97160125 1.0 0.439999946954 -0.199941765252 0.0104800918607 0.00962295031399 0.00109759949216 125 6600 50 10000 284.09094334 0.0114687661694 -0.103774109574 -0.20749334374 3.28692 -3.25989849846 -1.75989849846 0.086 ./data/phasediag2/test0074.out 0.0 
