# BETA MCTIME VIRIAL1 DELTA ENERGY N1 L ACCEPTANCE ENERGYSQUARE TEMPERATURE DENSITY PRESSURE CV ENERGYERR CVERR N THERMTIME THBIN BTIME VOLUME PRERR ENERGYTAIL VIRTAIL CUTOFF U TOTENERGY DELTAIN FILENAME SIMTIME CORRTIME 
1.17647 3600000.0 -0.296294466667 0.1235 -0.564073591667 5 13.5721 0.715279 0.32509085 0.850000425 0.0499998682921 0.027551185677 0.00956654155354 0.0112489860352 0.00167183749231 125 16350 50 10000 2500.00658541 0.00440471907179 -0.0013404012286 -0.00268079330674 6.78605 -0.565413992895 0.709586644605 0.1235 ./data/phasediag3/test0000.out 0.0 65907.6775161 
1.05263 3600000.0 -0.267929652778 0.1245 -0.501619161111 5 13.5721 0.748808 0.255664744444 0.950001425002 0.0499998682921 0.0339694594647 0.00447972246178 0.00639386219607 0.000455764871595 125 12100 50 10000 2500.00658541 0.00249119692944 -0.0013404012286 -0.00268079330674 6.78605 -0.50295956234 0.922042575163 0.1245 ./data/phasediag3/test0001.out 0.0 36402.3501418 
0.952381 3600000.0 -0.242837625 0.1255 -0.449203994444 5 13.5721 0.777532 0.204789766667 1.0499999475 0.0499998682921 0.0402239705031 0.00272611187517 0.00575800168757 0.000188253173694 125 9700 50 10000 2500.00658541 0.00274457502999 -0.0013404012286 -0.00268079330674 6.78605 -0.450544395673 1.12445552558 0.1255 ./data/phasediag3/test0002.out 0.0 39712.1908629 
0.869565 3600000.0 -0.224979752778 0.1265 -0.420069558333 5 13.5721 0.796592 0.178875044444 1.1500002875 0.0499998682921 0.0461168655914 0.00182730389246 0.00398018847009 9.10755000309e-05 125 7200 50 10000 2500.00658541 0.0018138387781 -0.0013404012286 -0.00268079330674 6.78605 -0.421409959562 1.30359047169 0.1265 ./data/phasediag3/test0003.out 0.0 23599.5161087 
0.8 3600000.0 -0.207650708333 0.1275 -0.402565113889 5 13.5721 0.8099 0.164271891667 1.25 0.0499998682921 0.0519832879855 0.00141646127763 0.00367514864817 9.62960490102e-05 125 10550 50 10000 2500.00658541 0.00214301921096 -0.0013404012286 -0.00268079330674 6.78605 -0.403905515117 1.47109448488 0.1275 ./data/phasediag3/test0004.out 0.0 21969.8750753 
0.740741 3600000.0 -0.193512723333 0.1285 -0.387222530556 5 13.5721 0.821198 0.151893677778 1.3499995275 0.0499998682921 0.0576901485777 0.00107127076796 0.00303461399005 5.03237946834e-05 125 5400 50 10000 2500.00658541 0.00151692889338 -0.0013404012286 -0.00268079330674 6.78605 -0.388562931784 1.63643635947 0.1285 ./data/phasediag3/test0005.out 0.0 16980.2048281 
0.689655 3600000.0 -0.182179169167 0.1295 -0.374784172222 5 13.5721 0.830556 0.142399923611 1.4500003625 0.0499998682921 0.0632568533724 0.00092116380235 0.00274645813726 4.38379384133e-05 125 14600 50 10000 2500.00658541 0.00181148603464 -0.0013404012286 -0.00268079330674 6.78605 -0.376124573451 1.7988759703 0.1295 ./data/phasediag3/test0006.out 0.0 14020.8835648 
0.645161 3600000.0 -0.168682481944 0.1305 -0.363782727778 5 13.5721 0.838464 0.134227754444 1.5500006975 0.0499998682921 0.0689316895351 0.000786630474136 0.0028007372188 6.00039354042e-05 125 10600 50 10000 2500.00658541 0.00161389612322 -0.0013404012286 -0.00268079330674 6.78605 -0.365123129006 1.95987791724 0.1305 ./data/phasediag3/test0007.out 0.0 14942.1355559 
1.17647 3600000.0 -0.622323525 0.1192 -1.81218820833 5 11.0228 0.467134 3.424424025 0.850000425 0.0933327861194 0.0203779112412 0.194322189868 0.0895434314207 0.0652844520051 125 13850 50 10000 1339.29356657 0.0103067166964 -0.00467048384654 -0.00934085659561 5.5114 -1.81685869218 -0.54185805468 0.1192 ./data/phasediag3/test0008.out 0.0 205593.455147 
1.05263 36000000.0 -0.498121036111 0.1202 -1.02770154444 5 11.0228 0.617922 1.08091826944 0.950001425002 0.0933327861194 0.0413034475171 0.0274213083076 0.0154974278821 0.00436723731758 125 14250 50 100000 1339.29356657 0.00307593589863 -0.00467048384654 -0.00934085659561 5.5114 -1.03237202829 0.392630109212 0.1202 ./data/phasediag3/test0009.out 213.0 349369.560562 
0.952381 3600000.0 -0.445252788889 0.1212 -0.885708197222 5 11.0228 0.662451 0.794395033333 1.0499999475 0.0933327861194 0.0555709290402 0.00899412580344 0.012690949835 0.0018807590547 125 6550 50 10000 1339.29356657 0.00444029511004 -0.00467048384654 -0.00934085659561 5.5114 -0.890378681069 0.684621240181 0.1212 ./data/phasediag3/test0010.out 0.0 58472.7127929 
0.869565 3600000.0 -0.403560491667 0.1222 -0.797492288889 5 11.0228 0.694074 0.641363675 1.1500002875 0.0933327861194 0.0687954976447 0.00406028089066 0.00734745133189 0.00030236219133 125 5450 50 10000 1339.29356657 0.00264217863485 -0.00467048384654 -0.00934085659561 5.5114 -0.802162772735 0.922837658515 0.1222 ./data/phasediag3/test0011.out 0.0 36192.9480877 
0.8 3600000.0 -0.369967744444 0.1232 -0.746906694444 5 11.0228 0.715976 0.561833266667 1.25 0.0933327861194 0.0812640541151 0.00253674013487 0.00639214128616 0.000175851416144 125 11350 50 10000 1339.29356657 0.00293654033941 -0.00467048384654 -0.00934085659561 5.5114 -0.751577178291 1.12342282171 0.1232 ./data/phasediag3/test0012.out 0.0 37110.7068075 
0.740741 3600000.0 -0.345685666667 0.1242 -0.713615316667 5 11.0228 0.731737 0.513695391667 1.3499995275 0.0933327861194 0.0928636025991 0.00244091884741 0.00525935280323 0.000177329318966 125 4950 50 10000 1339.29356657 0.00232952445381 -0.00467048384654 -0.00934085659561 5.5114 -0.718285800513 1.30671349074 0.1242 ./data/phasediag3/test0013.out 0.0 22384.4555941 
0.689655 3600000.0 -0.322461752778 0.1252 -0.697210911111 5 11.0228 0.741859 0.489819236111 1.4500003625 0.0933327861194 0.104364511732 0.00176750519888 0.00393114051806 0.000107774142328 125 6850 50 10000 1339.29356657 0.00282378054797 -0.00467048384654 -0.00934085659561 5.5114 -0.701881394958 1.47311914879 0.1252 ./data/phasediag3/test0014.out 0.0 14970.7209408 
0.645161 3600000.0 -0.293185402778 0.1262 -0.668975586111 5 11.0228 0.754508 0.450786261111 1.5500006975 0.0933327861194 0.116430264923 0.00135605551146 0.00378340490875 0.000105916035252 125 10550 50 10000 1339.29356657 0.00278993087285 -0.00467048384654 -0.00934085659561 5.5114 -0.673646069958 1.65135497629 0.1262 ./data/phasediag3/test0015.out 0.0 15817.101129 
1.17647 3600000.0 -0.748030691667 0.1148 -2.24346511111 5 9.70694 0.4102 5.15079744444 0.850000425 0.136666784807 0.0111987460351 0.162853456069 0.0679149310677 0.050089671016 125 6550 50 10000 914.633355695 0.00881498228974 -0.0100141353855 -0.0200277600082 4.85347 -2.2534792465 -0.978478608996 0.1148 ./data/phasediag3/test0016.out 0.0 141122.988231 
1.05263 3600000.0 -0.697017666667 0.1158 -1.64392547222 5 9.70694 0.5147 2.73634005556 0.950001425002 0.136666784807 0.0318373472929 0.0375058125067 0.0381614623137 0.00928922195159 125 5000 50 10000 914.633355695 0.00476179973854 -0.0100141353855 -0.0200277600082 4.85347 -1.65393960761 -0.228937470104 0.1158 ./data/phasediag3/test0017.out 0.0 154883.596732 
